COD_CHAVE;DESCRITOR;RESUMOS
11549;Facetas Dentárias;AO0204, PI0864, PI0884, PN0139, PN0202, PN0500, PN0742, PN0768, PN1119
11554;Fadiga;AO0178, PN0201, PN0451, PN0835, PN1072
11586;Falência Renal Crônica;HA007
11588;Falha de Prótese;PI0164, PI0471, PN1835
11589;Falha de Restauração Dentária;AO0137, PN0736
11590;Falha de Tratamento;PN0280, PN0444
11598;Família;AO0030, PN0636
11606;Faringe;AO0117, PN0320, PN0323, PN1338, PN1674
11621;Farmacologia;FC007, FC012
11629;Farmacorresistência Fúngica;PN1433
11661;Fases do Ciclo de Vida;PI0397
11673;Fator 1 Induzível por Hipoxia;PN0544
11721;Fator de Crescimento Derivado de Plaquetas;AO0155
11723;Fator de Crescimento Epidérmico;AO0039, PI0678, PN0550, PN1420
30097;"Fator de Crescimento Transformador &#946;";AO0123, PN0055
30176;Fator de crescimento transformador beta;PN0341
11846;Fator Transformador de Crescimento beta1;PI0065, PN1754
11847;Fator Transformador de Crescimento beta2;PI0520
11881;Fatores de Crescimento Endotelial;PI0483
11898;Fatores de Risco;FC018, AO0119, PO003, PI0061, PI0363, PI0444, PI0530, PI0593, PN0700, PN0907, PN0912, PN1000, PN1192, PN1226, PN1798, PN1819, COL007, JL002
11899;Fatores de Tempo;PN0095
11929;Fatores de Virulência;FC006, AO0098, PI0356, PN1610
11959;Fatores Socioeconômicos;PI0091, PI0151, PI0497, PI0596, PI0743, PN1033, PN1817
12000;Fechamento de Espaço Ortodôntico;AO0022, PN0665
12020;Fêmur;PN0584
12033;Fenda Labial;PI0061, PI0295, PI0457, PI0818, PI0852, PN0237, PN0689
12066;Fenitoína;AO0031
12099;Fenótipo;PN1675
12112;Ferimentos e Lesões;PI0845, PN1385, PN1518
12118;Ferimentos por Arma de Fogo;PN0012
12197;Fibrina;PN0622, PN0886, PN1854
12206;Fibroblastos;AO0070, AO0122, PN0333, PN0439, PN1586
12213;Fibroma Ossificante;PN0252
12216;Fibromatose Gengival;PN0260
12217;Fibromialgia;PI0316, PN1163
12259;Filmes e Vídeos Educativos;PE017, PI0093
12326;Fios Ortodônticos;AO0007, AO0012, PI0304, PN0650, PN0654, PN0660, PN1352, PN1372
30150;Fissura labial;FC018, AO0099, PI0158, PI0348, PI0373, PI0454, PI0755, PI0910, PN0270, PN1439, PN1753
30141;Fissura lábio palatina não-sindrômica;PI0156, PI0755, PN0321, PN1436, PN1649
12367;Fissura Palatina;AO0011, AO0099, PI0061, PI0158, PI0295, PI0296, PI0348, PI0373, PI0454, PI0457, PI0502, PI0588, PI0818, PI0852, PI0910, PN0237, PN0270, PN0581, PN0689, PN0722, PN0851, PN0956, PN1002, PN1021, PN1439, PN1753
12406;Fitoterapia;AO0095, PI0206, PI0512, PI0535, PI0653, PI0661, PI0666, PI0810, PI0868, PN0071, PN0367, PN0408, PN0638, PN1298, PN1552, PN1626
12407;Fixação de Fratura;AO0161, PN0943
12411;Fixação Interna de Fraturas;AO0154, AO0159, PN0637, PN0639
12414;Fixadores;AO0038
12474;Fluido do Sulco Gengival;PI0603, PN0531, PN0879
12482;Flúor;AO0083, PO015, PI0113, PI0287, PI0353, PI0583, PI0802, PN0078, PN0102, PN0179, PN1216, PN1377, PN1390, PN1620, COL002
12493;Fluorescência;AO0127, PI0104, PI0804, PN0081, PN0393, PN0399, PN0966, PN1157, PN1304, PN1615, PN1761
12494;Fluoretação;PN1216, PN1227, PN1235, PN1502
12495;Fluoreto de Cálcio;PN1702, PN1718
12497;Fluoreto de Fosfato Acidulado;PN1001, PN1718
12498;Fluoreto de Sódio;PI0326, PN0387, PN1301, PN1357, PN1613, PN1632, COL014
12499;Fluoretos;AO0002, AO0096, PI0197, PI0362, PI0411, PI0665, PI0902, PN0394, PN0806, PN0997, PN1017, PN1299, PN1631
12501;Fluoretos Tópicos;PI0255, PI0503, PN0991
12509;Fluorose Dentária;AO0083, PN0963
12511;Fluoxetina;PN0967
12546;Fluxometria por Laser-Doppler;PN0151
12558;Folhetos;PO008
12571;Fonoaudiologia;PN1668
30241;Forame Mentual;PN0569, PN1447, PN1757, PN1766
12603;Força Compressiva;PN0813, PN1082
12606;Força de Mordida;AO0078, AO0099, PI0478
12618;Formação de Recursos Humanos;PE016
12663;Fosfatase Alcalina;PI0225
12684;Fosfatos;FC013, PI0753, PN0647, PN1020, PN1026, PN1028, PN1347, COL009
12686;Fosfatos de Cálcio;AO0175, PN0152, PN0424
30045;Fosfopeptideo de Caseína Fosfato de Cálcio Amorfo;PI0041, PI0902, PN0971
12786;Fotografia;PI0585, PN0539, PN0848
12787;Fotografia Dentária;PI0264, PI0585, PI0586, PN0397
30004;Fotoiniciador;AO0171, AO0187, PI0111, PN0412, PN0418, PN1126
29877;fotopolimerização;PI0417, PI0563, PI0714, PN0107, PN0193, PN0476, PN0729, PN0783, PN0795, PN1074, PN1098, PN1121, PN1126
12797;Fotoquimioterapia;AO0082, PI0199, PI0657, PI0798, PI0811, PN0882, PN0898, PN1300, PN1320, PN1621, PN1622, PN1793, PN1862
29938;Fototerapia;PI0185, PN0348, PN1547, PN1721
12822;Fragmentos de Peptídeos;PN1207
12856;Fraturas dos Dentes;PN0551, PN1692, PN1747, PN1763
12861;Fraturas Mandibulares;AO0159, PN0010, PN0637
12862;Fraturas Maxilares;AO0161
12866;Fraturas Ósseas;AO0154, AO0160
12873;Freio Lingual;PN0726, PN0994
12881;Frequência Cardíaca;FC025, PI0459, PI0849
12886;Fricção;PN0650, PN0962
12893;Frutas;PN1307
12916;Fumaça;PN0437
30228;Funcionalização de superfície;PN0755
12977;Fusobacterium nucleatum;HA006, PN1315
29889;Gases em Plasma;PI0128, PI0173, PI0410, PN0096, PN0339, PN1526
13118;Gastrite;PN1730
13134;Gastrostomia;PN1813
13157;Gêmeos;PN0911
13172;Genes Bacterianos;AO0101
13229;Genes p53;PN0578
13252;Genética;PI0686, PN1005, PN1423, PN1651
13260;Gengiva;PN0552, PN1154, PN1435, PN1522, PN1779
13262;Gengivite;PI0857, PN0703, PN1321, PN1464, PN1701, PN1798
13286;Genótipo;AO0101
13287;Genotoxicidade;PI0881, PN0690, PN1260, PN1568
13321;Gerenciamento de Resíduos;PN1083
13324;Geriatria;AO0036, PI0624
13329;Gestantes;PO008, PI0091, PI0213, PI0214, PI0223, PI0226, PI0546, PI0697, PI0702, PI0707, PI0832, PI0838, PI0847, PN1507, PN1784, PN1816, PN1831
13334;Gestão do Conhecimento para a Pesquisa em Saúde;PN0918
13337;Gestão em Saúde;PE011, PN1214
13374;Glândula Pineal;PI0612, PN0938
13376;Glândula Submandibular;PI0361, PN0405
13377;Glândula Tireóide;PI0059
13390;Glândulas Salivares;AO0087, PI0057, PI0360, PN0380, PN0560, PN0567, PN1303, PN1633, PN1765
13408;Glicemia;PI0815
13470;Glicosaminoglicanas;PN0271
13517;Glossite Migratória Benigna;PI0378, PN0566, PN1423, PN1455
13526;Glucocorticóides;PN1460, PN1468
13539;Glucose;PN0054
13552;Glucosiltransferases;AO0006
13572;Glutamina;PN1316
13607;Goma de Mascar;AO0081, PI0041
30346;grampo de poliamida;PI0774
13654;Grampos Dentários;PN1071
13660;Granuloma;PN0562, PN0583, PN1291
13662;Granuloma de Células Gigantes;PI0379, PI0677, PN1732
13672;Granuloma Periapical;PI0508, PN0244, PN1458
30257;Grape Seed Extract;PN1560
13694;Gravidez;PO017, PI0238
13746;Grupos Focais;PN1809
13753;Guaco (Homeopatia);PN1075
13756;Guaiacol;PN0239
13804;Guia;PN1829
13817;Guta-Percha;PI0715, PN0052, PN0339
13832;Hábitos;AO0023, PI0545, PI0895, PN1016, PN1412
13833;Hábitos Alimentares;AO0049, PI0505, PN0727, PN1236, PN1330, PN1493, PN1507
13854;Halitose;AO0026, PI0366, PI0832, PN0076, PN0390, PN0881, PN1475
30286;Halógena;PI0419
13888;Hanseníase;AO0026, PI0243, PI0538, PI0545, PN0910
13926;Helicobacter pylori;PN1197, PN1773
13958;Hemangioma;PI0681
14014;Hemofilia A;PN1152
14027;Hemoglobinas;PN1602, PN1778
30268;Hemograma;PN1770
14035;Hemólise;PN1318
30322;Hemolysis;PN1616
14042;Hemorragia;PN0313
14073;Hemostáticos;PI0409, PN0737, PN0800
14087;Hepatite;PI0654, PI0853
14094;Hepatite C;PI0363
14222;Hibridização In Situ Fluorescente;PN1332, PN1669
14252;Hidrocarbonetos Policíclicos Aromáticos;PN1202, PN1450
14263;Hidrofobicidade;PI0323
14266;Hidrogel;PI0114
14297;Hidroxiapatitas;AO0131, AO0179, AO0188, PI0863, PN0821, PN1017, PN1087
14305;Hidróxido de Cálcio;FC004, AO0072, PI0182, PI0192, PI0489, PI0495, PI0641, PN0363, PN0364, PN0480, PN1282, PN1557, PN1573, PN1579, PN1636
14306;Hidróxido de Magnésio;PI0405
14343;Higiene;PI0393, PI0443, PI0741
14344;Higiene Bucal;PI0076, PI0202, PI0227, PI0251, PI0538, PI0692, PI0708, PI0838, PN0870, PN0878, PN0892, PN1461, PN1465, PN1623, PN1822, PN1865
14350;Higienizadores de Dentadura;PI0322, PN0124, PN0205, PN0536, PN0834, PN0843, PN0852, PN1146
14382;Hiperglicemia;AO0108
29974;Hipersensibilidade da Dentina  ;AO0204, PI0266, PI0275, PI0278, PI0730, PI0887, PN0458, PN0474, PN0747, PN0794, PN0814, PN0876, PN1186, PN1199, PN1463, PN1613, PN1632
14443;Hipertensão;AO0055, PI0460, PN1210
14471;Hipnóticos e Sedativos;PN1652
14482;Hipoclorito de Cálcio;PI0346, PI0796, PN0496, PN1252
14483;Hipoclorito de Sódio;PI0346, PI0793, PI0798, PN0058, PN0205, PN0355, PN0359, PN0369, PN0420, PN0666, PN0771, PN0796, PN1097, PN1249, PN1252, PN1254, PN1258, PN1259, PN1282, PN1560, PN1604
14487;Hipofaringe;PN0679
14494;Hipoglicemia;AO0108
29945;hipomineralização molar-incisivo;PI0143, PN0963, PN1675, PN1713
14507;Hipoplasia do Esmalte Dentário;AO0021, PI0141, PI0690, PN1004, PN1713
14533;Hipóxia Celular;AO0116, PI0522, PN1422
14575;Histocompatibilidade;PI0610, PI0647, PI0754, PI0756, PN0317, PN0983
14577;Histologia;AO0142, PN0274, PN0304, PN0618, PN1296
14578;Histologia Comparada;PI0630, PI0909
14580;Histona Desacetilases;PN0576
14596;História da Odontologia;PI0124
29922;HIV AIDS;PI0146, PI0365, PI0434, PI0589, PI0654, PI0705, PI0740, PN0556, PN0909, PN1198, PN1242, PN1243, PN1785
14612;HIV-1;PI0380
30101;HLA-G;PN0253
14663;Hormônio do Crescimento;PI0462
30058;Humanização;PE016
14746;Humanização da Assistência;PI0092, PI0548
14829;Identificação de Vítimas;AO0183
30262;identificação humana;PI0311, PN0631
14833;Idoso;PI0171, PI0556, PI0624, PI0843, PI0846, PN0909, PN1834
30190;Idosos;PO007, PI0250, PI0252, PI0404, PI0468, PN1229, PN1818
14855;Ilex paraguariensis;PN1450
14888;Imagem por Ressonância Magnética;PN0234, PN0259, PN0263, PN1172, PN1443, PN1733
14891;Imagem Tridimensional;AO0156, PN1674
14920;Impacto Psicossocial;AO0199
14921;Impactos na Saúde;PI0235
14934;Implante de Prótese;PI0781
14936;Implante de Prótese Mandibular;PI0482
14937;Implante de Prótese Maxilofacial;PN0219, PN0512, PN0514, PN0601, PN0836
14939;Implante Dentário;AO0113, AO0132, AO0133, AO0135, AO0136, AO0144, AO0153, AO0164, AO0173, AO0212, PI0022, PI0175, PI0179, PI0325, PI0328, PI0329, PI0482, PI0634, PI0710, PI0781, PI0786, PN0197, PN0280, PN0283, PN0284, PN0285, PN0286, PN0289, PN0292, PN0294, PN0296, PN0303, PN0304, PN0307, PN0311, PN0482, PN0513, PN0589, PN0590, PN0596, PN0598, PN0599, PN0600, PN0601, PN0602, PN0604, PN0605, PN0608, PN0613, PN0615, PN0618, PN0620, PN0621, PN0659, PN0851, PN0869, PN1178, PN1194, PN1195, PN1522, PN1523, PN1524, PN1529, PN1530, PN1532, PN1533, PN1534, PN1536, PN1539, PN1542, PN1544, PN1545, PN1546, PN1549, PN1551, PN1555, PN1835, PN1836, PN1838, PN1840, PN1841, PN1845, PN1848, PN1849, PN1850, PN1855, PN1858, PN1864
14940;Implante Dentário Endoósseo;PI0780, PN0592, PN0604
14951;Implantes Dentários;FC027, AO0027, AO0041, AO0114, AO0130, AO0134, AO0138, AO0139, AO0142, AO0145, AO0146, AO0149, AO0203, PI0003, PI0024, PI0025, PI0027, PI0174, PI0177, PI0178, PI0233, PI0326, PI0327, PI0480, PI0566, PI0612, PI0632, PI0633, PI0764, PI0782, PN0170, PN0218, PN0281, PN0287, PN0295, PN0298, PN0305, PN0306, PN0549, PN0552, PN0591, PN0595, PN0603, PN0606, PN0607, PN0609, PN0610, PN0612, PN0614, PN0617, PN0622, PN0720, PN0765, PN0776, PN0831, PN0835, PN0841, PN0859, PN0860, PN0938, PN0947, PN0951, PN0961, PN1156, PN1185, PN1206, PN1414, PN1483, PN1525, PN1526, PN1527, PN1535, PN1540, PN1541, PN1548, PN1550, PN1839, PN1842, PN1851, PN1852, PN1861, PN1863
14952;Implantes Dentários para Um Único Dente;AO0148, PI0479, PN0084, PN1532, PN1839
14953;Implantes Experimentais;PI0021, PI0176
14954;Implantes Orbitários;PN1531
14961;Impregnação pela Prata;PI0376
14964;Impressão;PN1845
14973;Imputabilidade;PN1217
14974;Imunidade;PN1297
14981;Imunização;PI0207
29871;Imuno-Histoquímica ;FC002, AO0070, AO0143, PI0071, PI0221, PI0306, PN0085, PN0244, PN0245, PN0266, PN0274, PN0316, PN0335, PN0380, PN0545, PN0566, PN0570, PN0571, PN0580, PN0680, PN1455, PN1725, PN1752, PN1799, PN1800
14997;Imunofenotipagem;HA001
15001;Imunoglobulina A;PI0056, PI0513, PN0678, PN1683
15011;Imunoistoquímica;PI0008, PI0220, PI0508, PN0238, PN0565, PN1750
15012;Imunologia de Transplantes;PN0294
15017;Imunossupressão;AO0123, PI0148, PN0253, PN1647, PN1797
15023;In Vitro;AO0093, PN0498, PN1670
15042;Incidência;PN1677
15049;Incisivo;PN0677, PN1193, PN1365, PN1400, PN1649
15075;Indicador de Colaboração;PI0301
15076;Indicador de Risco;FC023, PN1843
15077;Indicadores;PN1491
15079;Indicadores Básicos de Saúde;PN1224
15095;Indicadores de Qualidade de Vida;PI0455, PI0598, PN1162
15096;Indicadores de Qualidade em Assistência à Saúde;PN0444
15098;Indicadores de Serviços;PN1817
15103;Indicadores Sociais;PI0138
15105;Índice CPO;PI0844
15107;Índice de Massa Corporal;PI0857, PN1005
15108;Índice Periodontal;PN1200, PN1488
658;Índios Sul-Americanos;PI0084
15129;Indometacina;PN1070
15150;Indústria de Cal e Gesso;PI0254
30183;Inervação Dental;PN0028
15208;Infecção;PI0082, PI0510, PI0813, PN0077, PN1316, PN1459
15211;Infecção Focal;PI0207
15212;Infecção Focal Dentária;PN0088
15213;Infecção Hospitalar;PN0080
15308;Infecções por Herpesviridae;PN1440
15385;Infiltração;PI0489, PI0618, PI0625, PN1437
15387;Infiltração Dentária;PI0265, PN0105, PN0470, PN1256, PN1567, PN1576
30003;Infiltrante;PI0717, PN1048
15390;Inflamação;FC007, FC008, AO0088, AO0126, PI0070, PI0072, PI0607, PI0666, PN0085, PN0335, PN0939, PN1181, PN1250, PN1291, PN1305, PN1737, PN1787
15398;Informação;PN1521
15404;Informática em Saúde Pública;PN1768
15406;Informática Odontológica;PN1406
15408;Infraestrutura;PN0908
30283;Inibidores de Metaloproteinases de Matriz;PI0210, PN0819, PN1092, PN1101
15482;Inibidores Enzimáticos;PN0491
15555;Instituição de Longa Permanência para Idosos;PN0221
15556;Instituições Acadêmicas;PI0517
15561;Instituições de Ensino Superior;PN0865, PN1700
29943;Instrumentação;PI0035, PI0342, PI0893, PN0030, PN0049, PN0059, PN0065, PN0342, PN0343, PN0352, PN1248, PN1566, PN1571, PN1580, PN1601
15581;Instrumentos Cirúrgicos;PI0329
30042;Instrumentos de níquel-titânio;PI0142, PI0187, PI0335, PI0488, PI0636, PN0018, PN0019, PN0031, PN0045, PN0060, PN0340, PN0356, PN1266, PN1283, PN1287, PN1292, PN1574
15582;Instrumentos Odontológicos;PI0118, PI0341, PI0711, PN0025, PN0048, PN0060, PN0338, PN1255, PN1271, PN1593
15597;Insuficiência Renal;PN1427
15599;Insuficiência Renal Crônica;PO011, PI0076, PI0536, PI0670, PN1333, PN1513, PN1633
15651;Interações Hospedeiro-Patógeno;PI0049
15677;Interleucina-10;PI0217
15683;Interleucina-17;AO0067, PN0046
15692;Interleucina-6;PN1478
15696;Interleucinas;PN1429, PN1448
15704;Internet;PN1521
15707;Interpretação de Imagem Radiográfica Assistida por Computador;PN0803
15728;Intoxicação Alcoólica;PI0384
30367;intoxicação episódica;PI0361
15755;Intubação;PI0097, PN0688
30002;invadopodio;AO0116, PI0522, PN1425
15840;Iris;PI0016
15853;Irradiação Corporal Total;AO0086
15859;Irrigação;AO0066, PN0030, PN0036, PN0360, PN1258, PN1777
15861;Irrigação por Gotejamento;PN1274
15863;Irrigantes do Canal Radicular;AO0069, PI0490, PI0491, PI0571, PI0793, PN0024, PN0378, PN0811, PN1262, PN1273, PN1274, PN1594
15953;Isotretinoína;PN0401
15966;Itérbio;AO0061
16038;Jurisprudência;PI0709, PN0920
16126;Lábio;FC019, PI0218, PI0309, PI0374, PN0636
16156;Lactobacillus;AO0101, PN0706, PN1313
16166;Lactobacillus rhamnosus;PI0656
16169;Lactoferrina;PI0297
16245;Larva;PN0095
30172;Laser;PI0134, PI0278, PI0607, PI0609, PI0629, PN0296, PN0314, PN0630, PN0779, PN0814, PN0818, PN1140, PN1188, PN1246, PN1449, PN1577, PN1619, PN1624, PN1657, PN1672
16250;Lasers;PI0222, PI0486, PI0882, PN0078, PN0144, PN0166, PN0179, PN0233, PN0273, PN0747, PN0799, PN0868, PN1080, PN1130, PN1267, PN1613, PN1632, PN1686, PN1774
16258;Látex;PN0952, PN1402
30103;Laudo pericial;PN0920
16274;Laurus;PN1616
16290;Lectina de Ligação a Manose;PN0035
16304;Legislação;PI0698
16327;Leis;PI0542
16349;Leite Humano;PN1312
16366;Lentes de Contato;PN0504
16408;Lesão por Inalação de Fumaça;PN0325
16413;Lesões dos Tecidos Moles;PI0060, PI0214
16417;Lesões por Radiação;PN0235
16418;Lesões Pré-Cancerosas;AO0127, PN1752, PN1767
16429;Leucemia;PN1009, PN1770
16445;Leucemia Linfóide;PN1440
16491;Leucoplasia;PI0525, PI0820, PN0575
16492;Leucoplasia Bucal;AO0111, PI0067, PI0217, PN0558
16515;Levantamentos de Saúde Bucal;PI0544, PI0592, PN0913, PN1229, PN1819, PN1821
16517;Levantamentos Epidemiológicos;PN0913, PN1200
16571;Ligamento Periodontal;FC015, PI0603, PN0180, PN0992, PN1689, PN1741
16587;Ligas de Cromo;PN0124, PN0834
16589;Ligas Dentárias;PN0850, PN1054
16590;Ligas Metalo-Cerâmicas;PN0210, PN0461, PN0826
16653;Linfócitos T Citotóxicos;PN1800
16681;Língua;PN0881
16694;Linhagem Celular;PN0348
16707;Liofilização;AO0151, PN0873
16728;Lipopolissacarídeos;PN1482
16754;Líquen Plano Bucal;PI0363, PN0258
29834;"Líquen Plano Oral; ";AO0121
16763;Líquido Dentinal;PI0268
16820;Livros;PI0240
29872;Localizador Apical Eletrônico;PI0891, PN0331, PN1570
16885;Longevidade;PI0470, PI0884, PN0131, PN0769, PN0777, PN1094, PN1101
16907;Lubrificação;PN0302
16908;Lubrificantes;PI0414
16941;Luvas Protetoras;PI0430, PI0511
29837;Luzes de Cura Dentária;AO0171, PN0418
29857;má oclusão;AO0014, AO0018, PI0012, PI0150, PI0283, PI0290, PI0299, PI0300, PI0446, PI0455, PI0604, PI0743, PI0759, PI0894, PI0904, PN0324, PN0643, PN0645, PN0693, PN0713, PN0717, PN0902, PN0953, PN0960, PN0973, PN1004, PN1024, PN1032, PN1037, PN1038, PN1223, PN1334, PN1369, PN1370, PN1389, PN1392, PN1412, PN1503, PN1646, PN1648, PN1663, PN1679, PN1694
16984;Macrófagos;PN1771
16986;Macrófagos Peritoneais;AO0088, PN0351
17006;Mães;PI0064
17075;Maloclusão;AO0019, PI0101, PI0139, PI0601, PI0905, PN0203, PN0527, PN0665, PN0698, PN0723, PN1003, PN1398, PN1707
17077;Maloclusão de Angle Classe II;PI0301, PN0708, PN1341, PN1358, PN1368, PN1387, PN1389, PN1391, PN1410, PN1666, PN1673, PN1678, PN1714
17078;Maloclusão de Angle Classe III;PI0301, PN1342, PN1396
17087;Malva;FC008, PN1796
17105;Mandíbula;PI0384, PN0012, PN0549, PN0587, PN0713, PN0940, PN1523, PN1766, PN1804
17124;Manifestações Bucais;PI0524, PI0589, PI0669, PI0841, PN1327, PN1454
17175;Manutenção;PN1791
17179;Manutenção Preventiva;PN0885
17196;Mapa de Risco;PO013
17224;Marcadores Biológicos;FC010, AO0142, PI0233, PN1409, PN1483
17250;Marketing de Serviços de Saúde;PE011, PN0906
17283;Mastigação;AO0046, AO0053, AO0138, AO0197, AO0210, PN0382, PN0526, PN0540, PN0830, PN0861
17289;Mastócitos;AO0103, PN0936, PN0941, PN1209
17303;Materiais Biocompatíveis;AO0058, PI0003, PI0631, PI0764, PI0766, PN0298, PN0759, PN1846
17305;Materiais Biomiméticos;HA012
17310;Materiais Dentários;AO0183, AO0189, PE004, PI0112, PI0113, PI0117, PI0124, PI0167, PI0258, PI0415, PI0568, PI0570, PI0577, PI0716, PI0721, PI0731, PI0864, PI0870, PN0091, PN0104, PN0108, PN0117, PN0122, PN0128, PN0140, PN0148, PN0155, PN0160, PN0185, PN0186, PN0190, PN0191, PN0231, PN0266, PN0389, PN0450, PN0457, PN0459, PN0469, PN0485, PN0513, PN0574, PN0755, PN0763, PN0775, PN0781, PN0787, PN0804, PN0809, PN0812, PN0825, PN1046, PN1050, PN1053, PN1075, PN1099, PN1145, PN1309, PN1357, PN1474, PN1480
17313;Materiais para Moldagem Odontológica;PI0771, PN0216, PN0460, PN0499, PN0530, PN0531, PN0539, PN0617, PN0848, PN1052
17314;Materiais Restauradores do Canal Radicular;AO0015, PN0033, PN0047, PN0200, PN0240, PN1337
17315;Materiais Revestidos Biocompatíveis;PN1372
30093;Material Xenogênico;PI0023
30298;Materials Testing;HA017
17322;Matricaria;PI0658
17323;Matriz Extracelular;HA005, PI0787
17325;Matriz Óssea;AO0166, PN0891, PN0935, PN0944
17328;Maturidade Cervical;PN1644
17337;Maus-Tratos Infantis;PI0089, PI0247, PI0286, PN1395, PN1803
17339;Maxila;AO0156, PI0310, PN0297, PN0322, PN1008, PN1174
29984;Maxillofacial Prosthesis;HA015, HA017
17346;Mecânica;PN1641, PN1645
30293;Média;PI0419
17367;Mediadores da Inflamação;PI0305, PI0458, PI0907, PN0376, PN0546, PN0562, PN1759
30196;medicação;PI0386, PI0492, PN1559, PN1563
17412;Medicamentos de Uso Contínuo;AO0048
17415;Medicamentos Fitoterápicos;AO0089, PI0063, PI0192, PI0209, PI0224, PI0282, PI0367, PI0476, PI0652, PI0729, PN0396, PN1245, PN1279, PN1306
17425;Medição da Dor;PN1634
17450;Medicina Baseada em Evidências;PI0231, PI0385, PI0668
17451;Medicina Bucal;PN1829
17460;Medicina do Trabalho;PN1219
17504;Medidas;PI0908
17526;Medo;PI0137, PI0549, PN1221
17532;Medula Óssea;PI0501, PN1188, PN1859
17564;Meios de Contraste;PI0496
17565;Meios de Cultivo Condicionados;PN1592
17580;Melanoma;FC021
17589;Melatonina;PI0612, PN0938
17611;Membrana Basal;PN1437
17677;Menopausa;PN0930
17680;Menores de Idade;PI0389, PN1475
17702;Mercado de Trabalho;AO0037, PE011
17708;Mercúrio;PN1083, PN1113
17762;Metabolismo;PN1311, PN1633
17769;Metacrilatos;PI0117
17796;Metaloproteinase 20 da Matriz;PN1344
17799;Metaloproteinase 8 da Matriz;PI0327, PN1041
17801;Metaloproteinases da Matriz;HA010, AO0077, PI0069, PI0276, PI0882, PI0898, PN0417, PN1437
17804;Metalotioneína;PI0069, PI0521
17808;Metanálise;PI0422, PN0015, PN1176, PN1851
17825;Metas;PN1491
17826;Metástase Linfática;PN1419
17828;Metástase Neoplásica;PN1771
17846;Metformina;PI0176
17883;Metilação de DNA;FC022
17917;Metiltransferases;PI0066
30113;Método CHECKERBOARD.;AO0105
30010;metodologias de ensino;PE001, PE007, PE023
17960;Metotrexato;AO0112
17971;Metronidazol;PI0307, PN1789, PN1793
30340;mialgia;PN1143, PN1155
17996;Miconazol;PN0399
18001;Microabrasão do Esmalte;PN0791
18003;Microbiologia;AO0025, PI0052, PI0507, PI0639, PI0655, PI0810, PI0814, PN0071, PN0084, PN0285, PN0310, PN0366, PN0395, PN0494, PN0884, PN1205, PN1267, PN1598, PN1607, PN1624
30154;Microbiologia Oral;FC003, AO0032, AO0091, PI0132, PI0202, PI0208, PI0512, PI0659, PN0093, PN0389, PN1191, PN1331
18014;Microcirculação;PN1603
18025;Microdissecção;PN1471
30272;Microdureza;PI0105, PI0408, PI0564, PI0578, PN0421, PN0817, PN1053, PN1112, PN1114, PN1150
29962;Microinfiltração;PI0431, PN0332, PN1526
18049;Microondas;PI0166, PN0213, PN0858
18053;MicroRNAs;AO0125
18055;Microscopia;PN0342, PN0559, PN0584, PN1271
18057;Microscopia Confocal;AO0146, PN0153, PN0350, PN0817, PN1276, PN1279, PN1581
18062;Microscopia de Força Atômica;PN1090
18064;Microscopia de Polarização;PN0942
18068;Microscopia Eletrônica;PI0329, PN0949, PN1112
18069;Microscopia Eletrônica de Transmissão;PN0260, PN0628
18072;Microscopia Eletrônica de Varredura;PI0040, PI0184, PI0190, PI0193, PI0335, PI0619, PI0871, PN0042, PN0056, PN0145, PN0194, PN0364, PN0378, PN0451, PN0455, PN0496, PN0497, PN0590, PN0746, PN0807, PN0947, PN1046, PN1064, PN1068, PN1116, PN1186, PN1561, PN1581
29855;Microtomografia computadorizada;FC015, AO0062, AO0065, AO0079, AO0115, AO0174, PI0038, PI0183, PI0337, PI0432, PI0462, PI0535, PN0005, PN0059, PN0160, PN0235, PN0267, PN0275, PN0343, PN0344, PN0347, PN0377, PN0568, PN0789, PN1257, PN1264, PN1266, PN1292, PN1405, PN1552, PN1561, PN1590, PN1743, COL006
18091;Midazolam;PN0998
18103;Mieloma Múltiplo;HA021, PI0682
18133;Minerais;PN1206
30162;Mineralização dentária;PI0543, PN0255
18238;Mobilidade Ocupacional;AO0037
18264;Modelos Animais;PI0526, PN1780
18266;Modelos Biológicos;PN1456
18272;Modelos Dentários;PI0617, PI0759, PN0462, PN0974, PN1021, PN1704
29874;Módulo de Elasticidade;PI0105, PI0875, PN0165, PN0503, PN0660, PN0761, PN1100, PN1114
29836;moldes odontológicos;PI0617
18320;Moléculas de Adesão Celular;PI0114, PN0550, PN1621, PN1746
18324;Molhabilidade;PN0051, PN0190, PN0597, PN1535
18419;Mordida Aberta;PI0150, PI0759, PI0898, PN0648, PN1016, PN1369, PN1383, PN1493, PN1704
18424;Morfologia;PI0010, PN0001, PN0042, PN0144, PN0587, PN0880, PN0950, PN1409, PN1755
18479;Motocicletas;PI0245
30307;Movimentação de dentes;PI0622
18480;Movimentação Dentária;FC007, FC012, FC015, AO0022, PI0134, PI0607, PI0909, PI0911, PN0654, PN0710, PN0712, PN0847, PN0959, PN0967, PN0989, PN0992, PN1334, PN1335, PN1360, PN1364, PN1407, PN1411, PN1639, PN1657, PN1660, PN1703, PN1721
18483;Movimento Celular;PN0023
18505;Mucopolissacaridose II;PN1343
18507;Mucopolissacaridose IV;PN0271
18508;Mucopolissacaridose VI;PN1343
18510;Mucopolissacaridoses;AO0020
